Product ID,Published State,Purchase Type,Auto Translate,Locale; Title; Description,Auto Fill Prices,Price,Pricing Template ID
starterpack0,published,managed_by_android,false,en_US;Starter pack;Must-Have pack for the beginner!,false,,4638237991080918605
3800gold,published,managed_by_android,false,"en_US;Heap of gold;Heap of gold - 3,800 gold!",false,,4636840026381554234
colorpack10,published,managed_by_android,false,en_US;5x Rainbow Lollipop Pack;5x Rainbow Lollipops with amazing discount!,false,,4636787157003098572
buyexp150,published,managed_by_android,false,en_US;150 Sugar Sodas;Huge sugar soda pack - 150 sugar sodas,false,,4634828612604949627
gunshot,published,managed_by_android,false,en_US;Air support;Removes a bunch of sweets from the field!,false,,4636787157003098572
25000gold,published,managed_by_android,false,"en_US;Gold treasure;Gold treasure - 25,000 gold!",false,,4634828612604949627
jampack,published,managed_by_android,false,en_US;Apprentice Pack;Lots of coins and boosters for fun playing!,false,,4638329326116172461
addmoves2,published,managed_by_android,false,en_US;Add 10 moves;Ten moves and a free rainbow lollipop!,false,,4636787157003098572
unlimitedlives2,published,managed_by_android,false,en_US;3 Days of Unlimited Lives;Unlimited Lives for 5 days!,false,,4636787157003098572
fridaypack,published,managed_by_android,false,en_US; Weekend Pack; 7000 coins and 7 boosters of each type!; fr_FR; Pack Week-end; 7000 pièces et 7 boosters de chaque type!; ru_RU; Набор на выходные; 7000 монет и 7 бустеров каждого типа!; de_DE; Wochenendpaket; 7000 Münzen und 7 Booster jeder Art!; es_ES; Paquete de fin de semana; ¡7000 monedas y 7 refuerzos de cada tipo!; pt_PT; Pacote de fim de semana; 7000 moedas e 7 boosters de cada tipo!; it_IT; Pacchetto Weekend; 7000 monete e 7 buste di ogni tipo!; nl_NL; Weekendpakket; 7000 munten en 7 boosters van elk type!; ar; حزمة عطلة نهاية الاسبوع; 7000 قطعة نقدية و 7 التعزيز من كل نوع!; ja_JP; 週末パック; 各タイプの7000コインと7ブースター！; ko_KR; 주말 팩; 7000 동전과 각 유형의 7 부스터!; tr_TR; Haftasonu Paketi; Her tipte 7000 jeton ve 7 arttırıcı!; zh_CN; 周末包; 7000种硬币和7种助推器！; pl_PL; Pakiet weekendowy; 7000 monet i 7 boosterów każdego typu!,false,,4637705986507746179
addmoves,published,managed_by_android,false,en_US;Add moves;Five extra moves,false,,4638237991080918605
piggybank6000,published,managed_by_android,false,en_US;Large Piggy Bank;Large Piggy Bank full of gold!,false,,4634399711617211198
exp4,published,managed_by_android,false,en_US;50 Sugar Sodas;50 sugar sodas with amazing discount!,false,,4636354206325628549
piggybank1800,published,managed_by_android,false,en_US;Medium Piggy Bank;Medium Piggy Bank full of gold!,false,,4637211488907699073
unlimitedlives,published,managed_by_android,false,en_US;3 Days of Unlimited Lives;Unlimited Lives for 3 days!,false,,4638193806219219763
epicpack,published,managed_by_android,false,en_US;Champion Pack;Extraordinary blend of gold coins and fascinating boosters!,false,,4635087904918188529
sweetpack,published,managed_by_android,false,en_US;Newbie Pack;Wonderful pack full of coins and boosters!,false,,4637818886676656314
colorpack4,published,managed_by_android,false,en_US;10x Rainbow Lollipop Pack;10x Rainbow Lollipops with amazing discount!,false,,4636354206325628549
piggybank500,published,managed_by_android,false,en_US;Small Piggy Bank;Small Piggy Bank full of gold!,false,,4638193806219219763
battlepass,published,managed_by_android,false,en_US;Hero's pass;Amazing offer with huge amount of bonuses!,false,,4636840026381554234
linepack3,published,managed_by_android,false,en_US;10x Rocket Pack;10x Rockets with amazing discount!,false,,4638193806219219763
6000gold,published,managed_by_android,false,"en_US;Mountain of Gold;Mountain of Gold - 6,000 gold!",false,,4634399711617211198
unlimitedlives05,published,managed_by_android,false,en_US;3 Days of Unlimited Lives;Unlimited Lives for 3 days with amazing discount!,false,,4638237991080918605
cellpack05,published,managed_by_android,false,en_US;5x Hammer Pack;5x Hammers with amazing discount!,false,,4636850472844305868
addmoves1,published,managed_by_android,false,en_US;Add 5 moves;Five moves and a free rainbow lollipop!,false,,4638237991080918605
lives074,published,managed_by_android,false,en_US;50x Lives;50x Lives with amazing discount!,false,,4638237991080918605
linepack074,published,managed_by_android,false,en_US;5x Rocket Pack;5x Rockets with amazing discount!,false,,4634554124695493487
addmoves5,published,managed_by_android,false,en_US;Add 15 moves;15 moves and two free rainbow lollipops!,false,,4637491540244814114
exp1,published,managed_by_android,false,en_US;25 Sugar Sodas;25 sugar sodas with amazing discount!,false,,4634554124695493487
lives3,published,managed_by_android,false,en_US;100x Lives;100x Lives with amazing discount!,false,,4638193806219219763
starterpack,published,managed_by_android,false,en_US;Super pack;Super pack for the good player!,false,,4637491540244814114
tastypack,published,managed_by_android,false,en_US;Pro Pack;Incredible mix of coins and various boosters!,false,,4637705986507746179
honeypack,published,managed_by_android,false,en_US;Master Pack;Ideal combination of coins and multiple boosters!,false,,4636474658719918241
addmoves3,published,managed_by_android,false,en_US;Add 15 moves;15 moves and a free rainbow lollipop!,false,,4638193806219219763
buyexp10,published,managed_by_android,false,en_US;Ten Sugar Sodas;Small sugar soda pack - 10 sugar sodas,false,,4637211488907699073
1800gold,published,managed_by_android,false,"en_US;Pile of Gold;Pile of Gold - 1,800 gold!",false,,4637211488907699073
starterpack2,published,managed_by_android,false,en_US;Mega pack;Great deal for the great player!,false,,4634399711617211198
500gold,published,managed_by_android,false,en_US;Stack of Gold;Stack of Gold - 500 gold!,false,,4638193806219219763
cellpack2,published,managed_by_android,false,en_US;10x Hammer Pack;10x Hammers with amazing discount!,false,,4636787157003098572
piggybank25000,published,managed_by_android,false,en_US;Huge Piggy Bank;Huge Piggy Bank full of gold!,false,,4634828612604949627
